,text,Filename,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Num_Words,label,Trust,error,Pid1,Pid2,ER_Pid,ER_language,ER_gender,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,reading_ease,fernandez_huertta,syble,gunning,inse,automated,freq_complex_word,difficult,dale,coleman,smog,kincaid,flesch,freq_long_word,Polysyllable_count,sent_count,i,Pronoun,Ipron,Article,Conj,Adj,Interrog,Drives,Bio,Health,nonflu,Affiliation,Achieve,Focuspresent,Relativ,Space,prob_rf_f,prob_rf_t,prob_gau_f,prob_gau_t
521,what kind of cat,p346p347-part2_ch1_478.046110_478.838200_q22_F_F,0.792086168,96.08055041,233.7330292,170.1818149,49.31957413,193.7256155,275.4714117,0.526315789,22.42813855,56.93326795,52.83271557,9.212406002,52.5850872,0.021010961,0.083823614,10.36919446,5.049955627,4,1,FALSE,1,346,347,347,English,Female,-0.5401,-0.4102,-0.8351,-0.6089,-0.0784,-0.1168,-0.6759,-0.3122,-1.0013,-1.8057,-1.4705,-0.2038,-0.6006,-0.1215,0.0291,-0.9257,1.1103,4,118.18,142.8,4,1.6,1,-4.2,0.2,0,0.2,-4.36,0,-2.3,118.18,0,0,1,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.89,0.11,0.40,0.60
522,yikes,p332p333-part2_ch1_387.025820_387.535820_q13_T_F,0.51,76.17876669,597.6047052,157.8183672,160.8770395,104.9334978,2198.969414,0.333333333,41.84950887,68.46851624,62.93566284,6.816794437,57.21023012,0.068951127,0.101905552,5.879331093,1.960784314,1,1,FALSE,1,332,333,333,English,Male,-0.6729,-0.3434,1.6433,0.5321,3.2873,-0.287,3.6888,-1.0467,0.8608,-0.3791,-0.1397,-0.8897,-0.1113,3.0653,-0.0346,-1.4131,-1.0247,1,121.22,145.8,1,0.4,-0.5,2.6,0.05,0,0.05,-16.41,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0.38,0.62
523,physics so what is your major now,p352p353-part1_ch2_974.064730_976.314730_q21_F_F,2.25,76.63488575,578.9592769,140.5139697,125.8552342,103.5096029,922.1888054,0.292792793,24.0665577,67.06654396,56.6658264,11.51336401,48.96310189,0.033313128,0.225799834,7.97021123,3.111111111,7,1,FALSE,1,352,353,352,English,Male,-0.1511,-0.3328,1.535,0.198,2.3169,-0.3132,0.9808,-1.246,-0.7585,-0.5437,-0.9384,0.2651,-0.8706,0.235,3.3674,-0.9208,-0.2416,7,106.67,133.7,8,2.8,2.5,0.3,0.35,0,0.35,2.44,0,0.1,106.67,0.142857143,0,1,0,0.285714286,0.142857143,0,0.142857143,0,0.142857143,0,0,0,0,0,0,0.285714286,0.142857143,0,0.68,0.32,0.31,0.69
524,okay um why did she do that,p556p557-part2_ch1_215.501041_217.853424_q14_F_T,2.352380952,95.21199919,299.1769202,206.1036408,47.98105284,212.2598482,798.0376686,0.581896552,24.59831928,72.15620153,63.6810346,11.14863529,59.27791451,0.019570558,0.08607695,15.18797772,2.975708502,7,0,TRUE,1,556,557,557,English,Female,-0.0722,-0.4305,-0.4551,0.0846,-0.1155,0.2235,0.4324,-0.0389,-0.8037,-0.0183,-0.0886,0.2723,0.0156,-0.2359,0.091,0.2089,-0.3017,7,115.13,139.7,7,2.8,2.5,-3.9,0.35,0,0.35,-2.55,0,-1.2,115.13,0,0,1,0,0.285714286,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0.142857143,0,0,0.16,0.84,0.53,0.47
525,twenty four so you lived have you lived there your entire life,p250p251-part2_ch1_377.866050_381.106050_q2_F_T,3.24,82.55140791,182.1305553,98.02678352,17.48342323,92.49050662,186.8130186,0.557632399,24.70260584,76.28717991,69.79275043,15.89392829,68.72728663,0.02742543,0.094577187,11.84325891,3.703703704,12,0,TRUE,1,250,251,251,English,Male,0.1458,-0.1948,-0.7693,-0.6223,-0.6858,-0.5155,-0.5789,0.056,-0.7006,0.5389,0.7338,1.3423,0.949,-0.2326,-0.2358,-0.0088,0.1618,12,93.14,122.6,14,4.8,5,4.6,5.55,1,5.55,6.48,0,3.3,93.14,0,0,1,0,0.25,0,0,0.083333333,0,0,0,0.25,0.25,0,0,0,0.083333333,0,0,0.13,0.87,0.43,0.57
526,noones ever like made you mad or even as a kid,p250p251-part2_ch1_814.998920_818.132800_q12_T_T,3.133877551,79.54323859,136.5974488,92.87908997,10.27802791,89.70997172,198.959104,0.664516129,24.58479215,76.50231608,70.10884681,15.39959752,69.06388401,0.032956021,0.087273132,12.95322562,3.510028653,11,0,TRUE,1,250,251,251,English,Male,0.114,-0.2649,-1.0337,-0.7217,-0.8854,-0.5665,-0.5531,0.5815,-0.7113,0.5642,0.7741,1.2208,0.98,0.2066,-0.4363,0.2525,0.0299,11,102.61,129.6,12,4.4,4.5,-0.6,0.55,0,0.55,0.5,0,1.7,102.61,0,0,1,0,0.090909091,0,0.090909091,0.181818182,0.090909091,0,0.090909091,0,0,0,0,0,0,0.181818182,0,0.09,0.91,0.46,0.54
527,[ha] you didn't have a chance,p360p361-part2_ch1_749.791300_750.871300_q24_T_T,1.08,166.3807897,593.9882717,228.8297123,95.8277791,207.5991631,820.4954044,0.6,59.02591885,84.93871559,76.09291519,6.197532881,72.15058476,0.03406354,0.155166372,8.662954876,5.555555556,6,0,TRUE,1,360,361,361,English,Female,-0.4537,1.2294,1.2569,0.5234,1.2102,0.1379,0.4801,0.0501,2.3312,1.4825,1.4926,-0.9452,1.2007,0.9151,1.9881,-1.3274,1.4545,6,99.23,128.7,7,2.4,2,3.6,0.3,0,0.3,-0.54,0,0.9,99.23,0,0,1,0,0.083333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0.14,0.86,0.43,0.57
528,why,p506p507-part1_ch2_694.316970_694.736970_q13_F_F,0.42,80.43810951,114.1014456,98.57665428,8.774357456,100.4629213,372.8764402,0.538461538,32.35124092,74.12590878,69.89308136,13.27004995,68.01558849,0.055272527,0.117943452,7.474631586,2.380952381,1,1,FALSE,1,506,507,506,English,Male,-0.6998,-0.2441,-1.1643,-0.6117,-0.9271,-0.3691,-0.1843,-0.0382,-0.0041,0.2852,0.7466,0.6971,0.8835,1.9789,0.4058,-1.0374,-0.7387,1,121.22,145.8,1,0.4,-0.5,-6.9,0.05,0,0.05,-28.01,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.83,0.17,0.62,0.38
529,okay is is ebay big in china,p458p459-part2_ch1_593.519260_595.619260_q10_F_T,2.1,75.16523296,530.9236533,114.3612044,68.90867563,101.7572402,634.4593094,0.859903382,46.91155113,72.35673785,65.23822942,5.590525746,62.91383067,0.027946983,0.117087906,12.85344478,3.333333333,7,0,TRUE,1,458,459,459,English,Male,-0.1961,-0.367,1.2561,-0.3069,0.7391,-0.3453,0.3705,1.5421,1.3217,0.0774,0.1536,-1.1913,0.4138,-0.1912,0.3823,0.229,-0.0903,7,106.67,133.7,8,2.8,2.5,-3.2,0.35,0,0.35,-1.74,0,0.1,106.67,0,0,1,0,0,0,0,0,0.142857143,0,0.142857143,0,0,0,0,0,0.285714286,0.285714286,0.285714286,0.11,0.89,0.52,0.48
530,is it like grad student housing,p444p445-part1_ch2_778.032891_779.562891_q20_F_F,1.53,103.3535258,573.7651338,146.8300553,85.98580594,128.0537632,724.4392988,0.7,30.78925008,75.93644347,68.59695096,9.964143378,66.49618558,0.019022142,0.096852775,14.3601136,3.921568627,6,1,FALSE,1,444,445,444,English,Male,-0.367,0.2904,1.5049,0.32,1.2122,0.1374,0.5614,0.756,-0.1464,0.4977,0.5815,-0.1158,0.7436,-0.9,-0.1733,0.5838,0.3101,6,90.77,122.7,8,2.4,2,2,9.2,2,9.2,4.28,0,2.1,90.77,0.333333333,0,1,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0.88,0.12,0.43,0.57
531,okay and i think i only have one more took me a moment to realize that cause a professor around here uh who ended your last romantic relationship,p542p543-part1_ch2_423.370310_432.747620_q11_F_T,9.377301587,75.08137148,597.8576542,108.7027266,60.45481213,93.05281165,384.4122526,0.510706638,16.86287358,81.27097984,66.49846457,12.73070032,61.49594908,0.023740894,0.077530454,12.29927531,2.985933612,28,0,TRUE,1,542,543,542,English,Male,1.9861,-0.369,1.6448,-0.4162,0.5048,-0.5051,-0.1598,-0.1747,-1.4145,1.1241,0.3142,0.5645,0.2832,-0.5252,-0.7039,0.0985,-0.3268,28,59.98,94.3,40,16.91,18,12.4,7.84,5,7.84,7.43,0,11.8,59.98,0.142857143,4,1,0.10714286,0.214285714,0.071428571,0.071428571,0.035714286,0.035714286,0.035714286,0.142857143,0,0,0.035714286,0.071428571,0,0.142857143,0.142857143,0.035714286,0.39,0.61,0.00,1.00
532,um did you see it in a movie theater or,p256p257-part1_ch2_1004.314590_1007.014590_q17_T_T,2.7,78.07710151,256.3043728,177.530401,53.58064697,193.6759437,332.0294004,0.696629213,37.48622451,67.97313533,62.33745872,5.499861465,62.18972855,0.019072037,0.055818961,13.02753965,3.703703704,10,0,TRUE,1,256,257,256,English,Female,0.032,-0.8301,-0.704,-0.4671,0.0397,-0.1177,-0.5559,0.5251,0.3698,-0.5094,-0.2597,-1.1167,0.2837,-0.2755,-0.7398,-0.2997,0.1938,10,103.63,130.7,11,4,4,-2.4,0.5,0,0.5,-1.37,0,1.3,103.63,0.1,0,1,0,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.12,0.88,0.50,0.50
533,have you ever bought anything on ebay eve,p434p435-part2_ch1_239.556700_241.057370_q5_F_T,1.500680272,78.04312099,594.7142821,111.3636117,74.18702061,96.20383303,964.6054649,0.74829932,33.73187153,72.44381819,65.37017957,7.028477286,63.51136468,0.029436312,0.119588834,13.15448876,5.330915684,8,0,TRUE,1,434,435,435,English,Male,-0.3758,-0.2999,1.6265,-0.3648,0.8853,-0.4473,1.0708,0.9934,0.1216,0.0877,0.1704,-0.8377,0.4688,-0.0729,0.451,0.2999,1.2695,8,88.74,120.7,10,3.2,3,2.6,0.4,0,0.4,5,0,2.9,88.74,0.125,0,1,0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0.375,0.125,0.12,0.88,0.43,0.57
534,uh uh what kind of shoes,p546p547-part2_ch1_395.488021_396.752368_q16_T_T,1.264353741,95.72168408,284.495803,181.1555444,60.83925564,202.1888493,744.4190423,0.691056911,34.71986385,65.2702279,60.0436714,7.082689197,58.55128549,0.031773436,0.090517881,11.56093573,4.745507371,6,0,TRUE,1,546,547,547,English,Female,-0.3985,-0.4186,-0.5403,-0.3971,0.2408,0.0386,0.3187,0.4977,0.1179,-0.8268,-0.5519,-0.7275,-0.0513,0.7332,0.2129,-0.6451,0.903,6,116.15,140.7,6,2.4,2,-3.6,0.3,0,0.3,-2.46,0,-1.5,116.15,0,0,1,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0.166666667,0,0.333333333,0,0,0,0,0,0.59,0.41,0.50,0.50
535,like what what aspects of your relationship make it more special than that with your mom,p336p337-part1_ch2_630.464920_635.339430_q15_F_F,4.874512472,73.63372898,577.3124216,148.0955166,80.92685348,104.9416648,703.0240147,0.458677686,20.59805917,72.03622304,59.55930318,8.861461302,53.72786715,0.027291448,0.088828249,7.9724036,3.282379539,16,1,FALSE,1,336,337,336,English,Female,0.6841,-0.9338,1.16,-1.0354,0.7974,-1.7468,0.2309,-0.6447,-1.168,-0.0324,-0.6136,-0.2901,-0.4954,0.3772,0.1665,-1.49,-0.093,16,80.62,112.5,21,8.9,8,8,7.39,3,7.39,8.87,0,6,80.62,0.1875,1,1,0,0.375,0.25,0,0,0.1875,0.125,0.0625,0,0,0,0.0625,0,0.0625,0,0,0.72,0.28,0.15,0.85
536,ha,p540p541-part2_ch1_1160.999352_1161.747537_q16_F_F,0.748185941,121.4020877,601.8683548,261.6828583,193.4748973,139.2036767,3946.958592,0.535211268,45.43548609,66.53807458,60.31998471,4.934621612,56.73380499,0.04922987,0.202485113,9.635041593,1.336566146,1,1,FALSE,1,540,541,541,English,Male,-0.6014,0.7114,1.6681,2.5374,4.1905,0.3421,7.3961,-0.0542,1.1873,-0.6057,-0.4729,-1.3526,-0.1552,1.499,2.7273,-0.5288,-1.4496,1,121.22,145.8,1,0.4,-0.5,-11.6,0.05,0,0.05,-33.81,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.16,0.05,0.95
537,which one,p222p223-part2_ch1_169.879120_170.521050_q17_T_T,0.641927438,78.88418778,171.9844897,135.8031358,26.85034592,142.6986466,549.6088301,0.573770492,40.58800779,73.81204351,66.59244625,10.80817369,60.67749351,0.028402692,0.082619343,12.81502157,3.115616942,2,0,TRUE,1,222,223,223,English,Male,-0.6333,-0.2803,-0.8282,0.1071,-0.4262,0.4063,0.1906,0.1354,0.7459,0.2483,0.3261,0.0917,0.2079,-0.155,-0.5641,0.22,-0.2386,2,120.21,144.8,2,0.8,0,-1.7,0.1,0,0.1,-7.41,0,-3.1,120.21,0,0,1,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0.8,0.60,0.40
538,what about when you fought rey,p418p419-part1_ch2_381.829050_383.908790_q13_T_F,2.079750567,77.41454858,135.4707705,105.1990186,11.25350663,104.2290081,211.8957172,0.617647059,34.49129524,85.83539517,76.28861641,10.69464696,74.00093273,0.02073288,0.086261607,16.63721535,2.884961348,6,1,FALSE,1,418,419,418,English,Male,-0.2021,-0.3146,-1.0402,-0.4838,-0.8584,-0.3,-0.5257,0.3511,0.1908,1.66,1.5613,0.0638,1.4345,-0.7641,-0.4641,1.1199,-0.3956,6,116.15,140.7,6,2.4,2,1.2,0.3,0,0.3,3.35,0,-1.5,116.15,0,0,1,0,0.333333333,0.166666667,0,0.166666667,0,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0.57,0.43,0.56,0.44
539,okay,p298p299-part1_ch2_521.362400_521.952400_q14_F_F,0.59,120.2825507,274.2139925,236.062507,50.32972225,254.057138,1056.675036,0.472727273,47.19113336,72.83644327,65.92998728,7.571770928,60.46872399,0.025613627,0.073887709,12.6336581,1.694915254,1,1,FALSE,1,298,299,298,English,Female,-0.6007,0.1542,-0.6,0.663,-0.0504,0.9908,0.981,-0.5757,1.2536,0.0616,0.1979,-0.6072,0.1252,0.244,-0.2437,-0.3925,-1.1736,1,121.22,145.8,1,0.4,-0.5,-2.2,0.05,0,0.05,-22.21,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.62,0.38
540,who do you love more your mom or your dad,p242p243-part2_ch1_297.565190_299.129330_q14_F_F,1.56414966,74.41935999,160.7301833,104.668392,21.14462008,93.12015136,143.2613288,0.758169935,30.67371108,70.84168453,61.5116069,9.342008066,51.68409332,0.023818168,0.079502216,13.24507679,6.39325012,10,1,FALSE,1,242,243,243,English,Male,-0.3568,-0.3844,-0.8936,-0.4941,-0.5843,-0.5039,-0.6713,1.0419,-0.1569,-0.1004,-0.3211,-0.2688,-0.6201,-0.5191,-0.6497,0.3212,1.9926,10,112.09,136.7,10,4,4,-1.5,0.5,0,0.5,-0.21,0,0.1,112.09,0,0,1,0,0.4,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0,0,0.85,0.15,0.44,0.56
541,what would that be,p346p347-part2_ch1_224.557610_225.437610_q21_F_F,0.88,93.67105803,219.045872,164.4260596,44.8549654,189.1867503,591.8474037,0.764705882,26.48766676,61.95284075,56.09409023,8.645490997,53.9136844,0.021328476,0.0772226,13.28139141,4.545454545,4,1,FALSE,1,346,347,347,English,Female,-0.5137,-0.4664,-0.9204,-0.7201,-0.2021,-0.2001,-0.0049,0.8598,-0.6317,-1.2163,-1.055,-0.3432,-0.4783,-0.0963,-0.1521,-0.24,0.7669,4,118.18,142.8,4,1.6,1,-1.9,0.2,0,0.2,-1.46,0,-2.3,118.18,0,0,1,0,0.5,0.5,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.79,0.21,0.46,0.54
542,your parents haven't divorced mm,p326p327-part1_ch2_86.268730_87.806510_q5_T_T,1.537777778,136.4193223,445.5923758,157.8588217,37.92931081,150.6480423,1028.845659,0.433333333,30.8890861,72.42773796,63.72295824,12.97879812,60.21534049,0.034472938,0.103667563,10.84801383,3.251445087,5,0,TRUE,1,326,327,326,English,Female,-0.3165,0.5306,0.3951,-0.8469,-0.394,-0.9077,0.922,-0.7693,-0.2309,0.0136,-0.0832,0.7224,0.1019,0.9476,0.574,-0.8129,-0.114,5,83.32,117.8,7,2,1.5,11.2,10.2,2,10.2,9.6,0,2.9,83.32,0.222222222,0,1,0,0.111111111,0,0,0,0,0,0.111111111,0,0,0.111111111,0.111111111,0,0.111111111,0,0,0.48,0.52,0.37,0.63
543,you're still friends,p488p489-part2_ch1_280.604750_281.367000_q12_F_F,0.762244898,80.838393,97.3654003,89.78717096,4.210088709,89.80621101,125.9080129,0.424657534,38.72914023,70.62157341,63.79966115,9.800949929,62.84796512,0.030521784,0.152659386,7.76718999,3.935742972,3,1,FALSE,1,488,489,489,English,Male,-0.5972,-0.2347,-1.2615,-0.7814,-1.0535,-0.5647,-0.7081,-0.5977,0.5766,-0.1263,-0.0296,-0.1559,0.4077,0.0133,1.3591,-0.9686,0.3197,3,119.19,143.8,3,1.2,0.5,14.6,0.15,0,0.15,7.32,0,-2.7,119.19,0.142857143,0,1,0,0.142857143,0,0,0,0,0,0.142857143,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0.77,0.23,0.52,0.48
544,okay and uh have you ever bought um anything on ebay,p278p279-part2_ch1_289.832120_296.102120_q9_F_F,6.27,76.41227518,565.764447,235.90931,50.2032796,225.2416688,426.8108449,0.769230769,23.14359581,63.09510624,57.18535474,10.35019983,54.92720424,0.009841345,0.035971428,22.30978721,1.754385965,11,1,FALSE,1,278,279,279,English,Female,1.1026,-0.869,1.093,0.6601,-0.0539,0.4618,-0.3549,0.8821,-0.9362,-1.0822,-0.916,0.076,-0.385,-1.0086,-1.2848,1.8858,-1.1331,11,94.15,123.6,13,4.4,4.5,2.1,0.55,0,0.55,3.69,0,2.9,94.15,0.090909091,0,1,0,0.181818182,0.090909091,0,0.090909091,0,0,0,0,0,0.181818182,0,0,0.090909091,0.181818182,0.090909091,0.76,0.24,0.45,0.55
545,where was that,p486p487-part2_ch1_521.780270_522.906560_q2_F_T,1.126281179,143.7106429,201.5358575,175.61202,12.60755597,172.8215265,144.9809804,0.532110092,37.53922153,68.26728172,63.71605855,7.627732812,61.07069428,0.010541148,0.051278501,12.81346786,2.663633252,3,0,TRUE,1,486,487,487,English,Female,-0.4399,0.7007,-1.0221,-0.5041,-1.0956,-0.5006,-0.9527,-0.2837,0.3747,-0.4749,-0.0841,-0.5935,0.1806,-0.953,-0.8645,-0.3502,-0.5142,3,119.19,143.8,3,1.2,0.5,-1.2,0.15,0,0.15,-2.38,0,-2.7,119.19,0,0,1,0,0.333333333,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0.333333333,0.14,0.86,0.56,0.44
546,okay um so i assume that you don't remember too much of that,p230p231-part2_ch1_70.125000_78.497700_q2_T_T,8.372698413,77.74162513,585.8834354,149.5038813,86.8866789,131.5366943,382.089001,0.262589928,25.66100536,71.08666751,60.19242179,13.16808562,47.67165285,0.028200625,0.083541016,12.7863357,1.552665504,13,0,TRUE,1,230,231,231,English,Male,1.6849,-0.3069,1.5753,0.3716,1.2372,0.2014,-0.1647,-1.3945,-0.6133,-0.0717,-0.4892,0.672,-0.9895,-0.171,-0.5388,0.2132,-1.3025,13,92.12,121.6,16,5.2,6.5,3.9,5.5,1,5.5,2.83,0,3.6,92.12,0.058823529,1,1,0.05882353,0.235294118,0.117647059,0,0.058823529,0,0,0,0,0,0.058823529,0,0,0.058823529,0,0,0.16,0.84,0.29,0.71
547,peanut butter that's kinda rought,p526p527-part1_ch2_182.739989_186.269989_q7_F_F,3.53,84.04692037,118.3892264,94.94308508,6.597135448,95.51285189,64.56620874,0.14,23.79826266,74.39763704,62.66353376,13.6634885,48.92846609,0.062006225,0.149440337,6.863799331,1.416430595,5,1,FALSE,1,526,527,526,English,Male,0.2327,-0.1599,-1.1394,-0.6818,-0.9874,-0.46,-0.8382,-1.9972,-0.7829,0.3171,-0.1744,0.7939,-0.8738,2.5137,1.2707,-1.1813,-1.3952,5,83.32,117.8,7,2,1.5,12.2,7.04,1,7.04,10.76,0,2.9,83.32,0,0,1,0,0.111111111,0.111111111,0,0,0,0,0,0.111111111,0,0,0,0,0.111111111,0,0,0.83,0.17,0.37,0.63
548,oh h- when and where,p358p359-part1_ch2_264.116300_266.306300_q18_T_T,2.19,156.4620055,294.0923118,194.0649079,30.02751181,187.6412237,324.0154782,0.865740741,46.00977749,79.95710524,73.56789499,8.053645625,71.8147601,0.021082409,0.058231545,18.09805983,2.283105023,5,0,TRUE,1,358,359,358,English,Female,-0.1209,0.9981,-0.4846,-0.1478,-0.6129,-0.2285,-0.5729,1.3565,1.146,0.8976,1.1709,-0.4887,1.1698,-0.1159,-0.6736,0.8941,-0.7732,5,117.16,141.8,5,2,1.5,-4,0.25,0,0.25,-4.33,0,-1.9,117.16,0,0,1,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0.166666667,0,0,0,0.333333333,0.166666667,0.41,0.59,0.59,0.41
549,have you ever watched tennis before or played it,p562p563-part1_ch2_342.483590_344.427940_q19_T_F,1.944353741,203.806138,585.2776476,266.6821011,91.99982037,237.9421013,1444.668279,0.691099476,34.98428186,72.65026132,65.39111793,9.133528638,63.10797346,0.019525379,0.085170657,15.68810466,4.628787349,9,1,FALSE,1,562,563,562,English,Female,-0.1946,2.1023,1.2063,1.2542,1.1042,0.695,1.8039,0.4979,0.142,0.0397,0.1293,-0.2232,0.3682,-0.2395,0.0661,0.3267,0.8236,9,87.72,119.7,12,3.6,3.5,4,0.45,0,0.45,6.7,0,3.3,87.72,0.111111111,0,1,0,0.222222222,0.111111111,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0.111111111,0.222222222,0,0.78,0.22,0.38,0.62
550,what kind of pets do you have,p336p337-part1_ch2_866.726310_868.095280_q22_T_T,1.368979592,81.3528267,379.9192675,190.4348296,75.06134334,230.2270859,1159.432251,0.413533835,31.82723145,72.64043016,59.68972357,8.488963493,55.90666395,0.026062039,0.134842026,8.029079444,5.113297555,7,0,TRUE,1,336,337,336,English,Female,-0.3671,-0.7537,0.0138,-0.2179,0.6349,0.5533,1.1989,-0.8667,-0.1455,0.0386,-0.597,-0.3817,-0.2948,0.2796,1.43,-1.4767,1.1534,7,115.13,139.7,7,2.8,2.5,-2.5,0.35,0,0.35,-0.87,0,-1.2,115.13,0,0,1,0,0.285714286,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0.285714286,0,0,0.07,0.93,0.45,0.55
551,okay cool um and what year are you,p330p331-part2_ch1_370.368070_376.168070_q20_F_T,5.8,76.3678316,583.7526336,167.0071039,82.72246877,112.1476033,604.5986153,0.421143847,17.83841739,75.5999886,62.97294167,15.9389906,56.49565474,0.024944684,0.078309794,13.8613757,1.379310345,8,0,TRUE,1,330,331,331,English,Female,0.9616,-0.87,1.1974,-0.6702,0.8471,-1.6145,0.0222,-0.8293,-1.4193,0.3861,-0.1788,1.4503,-0.2406,0.1909,-0.1223,-0.1034,-1.3884,8,114.12,138.7,8,3.2,3,-1.6,0.4,0,0.4,-0.05,0,-0.8,114.12,0,0,1,0,0.25,0.125,0,0.125,0.125,0.125,0,0,0,0.125,0,0,0.125,0.125,0,0.12,0.88,0.38,0.62
552,have your parents ever been divorced,p334p335-part2_ch1_220.843550_222.659200_q8_T_F,1.815646259,83.57152743,600.3187993,220.7400891,112.1277906,195.1559752,756.4279541,0.561797753,43.22460211,81.40945732,69.17212536,8.101763011,62.83651739,0.022164273,0.092403896,11.24219143,3.304608468,6,1,FALSE,1,334,335,335,English,Female,-0.2332,-0.702,1.2936,0.3672,1.6619,-0.0905,0.3442,-0.1378,0.8924,1.0682,0.6109,-0.4769,0.3432,-0.0299,0.2647,-0.7201,-0.0778,6,73.85,110.7,9,2.4,2,5.9,9.2,2,9.2,9.15,0,4.5,73.85,0.333333333,0,1,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0.82,0.18,0.38,0.62
553,you have,p544p545-part2_ch1_431.233073_431.828605_q9_T_F,0.59553288,171.2569023,287.6217197,217.6827878,32.07530363,216.3814497,546.2565762,0.785714286,37.84217826,74.53363927,70.93722594,10.99759205,71.33928535,0.016217627,0.062200393,13.0789072,3.358336824,2,1,FALSE,1,544,545,545,English,Female,-0.599,1.3431,-0.5222,0.3082,-0.5562,0.2991,-0.1016,0.9631,0.4023,0.2609,0.8358,0.2352,1.126,-0.5022,-0.5646,-0.2877,-0.0413,2,120.21,144.8,2,0.8,0,-4,0.1,0,0.1,-10.31,0,-3.1,120.21,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.93,0.07,0.59,0.41
554,who ended your last romantic relationship,p316p317-part2_ch1_417.021710_418.949040_q10_F_T,1.927324263,103.9608574,597.8232751,241.9988425,100.1745548,239.2005519,1229.373277,0.661375661,36.27625223,73.55090778,63.74710179,7.072040793,60.94425212,0.024094482,0.124597935,13.76969572,3.113124301,6,0,TRUE,1,316,317,317,English,Female,-0.1997,-0.2264,1.2791,0.7776,1.3307,0.7181,1.3473,0.3518,0.2597,0.1455,-0.0801,-0.7301,0.169,0.1234,1.1487,-0.125,-0.2082,6,31.55,80.7,12,15.73,4,9.8,11.83,3,11.83,13.97,0,10.4,31.55,0.333333333,2,1,0,0.333333333,0.166666667,0,0,0,0.166666667,0.333333333,0,0,0,0.333333333,0,0,0.333333333,0,0.13,0.87,0.18,0.82
555,could you elaborate on that a little bit,p556p557-part2_ch1_181.195182_182.727331_q12_F_F,1.532154195,76.14987774,319.2322838,239.9631821,67.5664592,273.917904,757.6160604,0.766666667,25.2603123,74.6849961,67.68434844,8.343445787,66.72941489,0.015293415,0.077320191,15.28321433,5.221406583,8,1,FALSE,1,556,557,557,English,Female,-0.3182,-0.8751,-0.3386,0.7383,0.4272,1.3554,0.3467,0.8695,-0.7434,0.2786,0.4214,-0.4175,0.7016,-0.5756,-0.1495,0.2314,1.227,8,80.28,114.7,11,8.2,4,2,6.01,1,6.01,4.31,0,4.1,80.28,0.125,1,1,0,0.25,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.6,0.4,0.40,0.60
556,ah it's you,p352p353-part1_ch2_1341.590140_1342.780140_q14_T_F,1.19,84.92570326,122.7564745,100.4700086,11.26834936,97.39493414,136.0172895,0.313043478,19.14056646,66.30122045,57.91802873,16.46837747,49.15625445,0.037410331,0.128163013,7.186165014,2.521008403,3,1,FALSE,1,352,353,352,English,Male,-0.4689,-0.1394,-1.1141,-0.5751,-0.858,-0.4254,-0.6866,-1.1465,-1.2071,-0.6336,-0.7789,1.4836,-0.8528,0.5604,0.6865,-1.1054,-0.6433,3,119.19,143.8,3,1.2,0.5,0.5,0.15,0,0.15,-10.09,0,-2.7,119.19,0,0,1,0,0.285714286,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0.78,0.22,0.42,0.58
