,X,Filename,text,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Num_Words,Trust,Pid1,Pid2,ER_Pid,ER_gender,ER_language,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,freq_long_word,freq_complex_word,reading_ease,Polysyllable_count,sent_count,fernandez_huertta,syble,gunning,inse,difficult,dale,automated,coleman,smog,kincaid,flesch,Conj,Negate,Interrog,Cause,Bio,Health,nonflu,Differ,Money
809,1801,p260p261-part1_ch2_365.051720_365.511720_q15_T_F,okay,0.46,144.9363293,205.4052021,162.0187324,13.33755526,160.0964169,295.5488914,0.76744186,53.17396632,73.20726175,68.92242482,5.625338572,68.26365077,0.023459145,0.101915142,12.47839117,2.173913043,1,FALSE,260,261,260,Male,Mandarin,-0.8586,1.2099,-0.8732,0.4866,-0.9646,0.6497,-0.3507,1.2653,2.0029,-0.0471,0.6746,-1.3294,1.0071,-0.5695,0.2449,-0.0576,-0.4776,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-2.2,-22.21,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
810,1803,p492p493-part2_ch1_684.062380_684.968370_q11_T_T,do you have ipad,0.905986395,124.9983824,174.9395208,148.1399098,12.0483798,144.6325618,228.9426386,0.75862069,42.0863835,73.21129461,68.93077571,8.508326996,68.75448553,0.02862385,0.068139571,16.54105066,4.415077339,4,TRUE,492,493,493,Male,Mandarin,-0.7386,0.7315,-1.0475,0.2165,-1.0017,0.3573,-0.5037,1.2193,0.8963,-0.0464,0.6761,-0.587,1.0599,-0.1865,-0.7941,0.9205,1.4082,4,0,0.2,118.18,0,1,142.8,4,1.6,1,0,0.2,-4.2,-4.36,0,-2.3,118.18,0,0,0,0,0,0,0,0,0
811,1807,p408p409-part1_ch2_220.435180_224.067360_q12_F_F,and have you ever gotten into trouble with the police,3.632176871,172.1952687,591.5064965,202.7356534,59.23690822,190.6124301,548.7225593,0.575,24.05777874,82.03204095,64.14541502,10.26386874,60.13788512,0.019017585,0.080514523,13.88184354,2.753169891,10,FALSE,408,409,408,Female,Mandarin,0.098,1.3765,1.0022,-0.1166,0.1505,-0.2508,-0.0413,-0.0354,-0.9296,1.2844,-0.2772,-0.1269,-0.0471,-0.2016,0.2452,-0.3479,0.0415,10,0.1,5.71,69.79,0,1,106.7,15,4,4,1,5.71,4.3,6.76,0,6,69.79,0.1,0,0,0,0,0,0,0,0
812,1808,p426p427-part2_ch1_755.118254_755.997803_q22_F_F,and what was your cat called,0.879546485,100.1167383,368.6702492,201.0491756,85.20807645,213.0822189,552.8191076,0.630952381,42.29018941,73.84677486,68.38776492,8.884308357,66.69831063,0.023867656,0.103643142,12.04361543,6.821697432,6,FALSE,426,427,427,Female,Mandarin,-0.6426,-0.3527,-0.2729,-0.1494,0.8979,0.1741,-0.0319,0.2563,0.89,0.0126,0.4805,-0.4822,0.6579,0.1581,0.9567,-0.7905,3.4649,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-0.5,1.38,0,-1.5,116.15,0.166666667,0,0.166666667,0,0,0,0,0,0
813,1809,p236p237-part2_ch1_464.590570_467.530570_q2_T_T,eighteen years okay,2.94,122.8724681,553.5241361,179.1160399,89.90623483,151.8294379,481.5727821,0.278350515,17.15803644,72.4194814,62.14011204,16.99429696,47.30054736,0.037569388,0.086453167,10.8410122,1.020408163,3,TRUE,236,237,237,Male,Mandarin,-0.1914,0.6805,1.1187,0.8194,1.2388,0.4934,0.0768,-1.2841,-1.5916,-0.1695,-0.5367,1.5982,-1.2457,0.4768,-0.2307,-0.4518,-1.4482,3,0.333333333,0.15,93.81,0,1,125.8,4,1.2,0.5,0,0.15,6.8,7.32,0,0.9,93.81,0,0,0,0,0,0,0,0,0
814,1810,p272p273-part2_ch1_391.360410_393.460410_q20_F_F,and um what are their names,2.1,191.9530103,244.3077644,207.6797211,10.38179922,205.9197437,211.6784253,0.690821256,32.07734743,72.78811911,68.52950985,13.17164824,68.99009062,0.013095766,0.045136551,22.04590202,2.857142857,6,FALSE,272,273,273,Female,Mandarin,-0.3143,1.8506,-0.9845,-0.0204,-1.2554,0.0386,-0.8159,0.5683,-0.1293,-0.1519,0.5058,0.6218,0.9042,-0.6407,-0.8432,1.6177,0.129,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-1.2,0.45,0,-1.5,116.15,0.166666667,0,0.166666667,0,0,0,0.166666667,0,0
815,1812,p386p387-part2_ch1_1048.961730_1050.071730_q17_T_T,mhm yeah,1.11,80.9459161,240.0604428,198.5130854,28.156477,193.1349021,287.4492556,0.833333333,30.69170097,74.71342861,68.79754422,12.77220682,67.4276686,0.00908717,0.049662567,24.31197015,1.801801802,2,TRUE,386,387,387,Female,Mandarin,-0.5806,-0.8126,-1.0088,-0.1988,-0.7439,-0.2031,-0.6417,1.3112,-0.2676,0.1472,0.5537,0.519,0.7363,-0.9379,-0.7039,2.1632,-0.759,2,0,0.1,120.21,0,1,144.8,2,0.8,0,0,0.1,-4,-10.31,0,-3.1,120.21,0,0,0,0,0,0,0,0,0
816,1816,p554p555-part1_ch2_671.900288_673.029353_q19_F_F,so y- you you used to,1.129070295,97.43227439,182.5733826,142.3653517,18.88748437,139.2004814,314.1112115,0.688073394,35.8242858,77.09916336,70.5059932,8.554674706,68.2253147,0.024340855,0.091666952,15.3358252,5.314106684,6,FALSE,554,555,554,Male,Mandarin,-0.6786,0.0702,-1.0039,0.1041,-0.8049,0.2546,-0.308,0.8516,0.2713,0.5577,0.9574,-0.5751,1.003,-0.5041,-0.0703,0.6304,2.1647,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-6,-6.34,0,-1.5,116.15,0.142857143,0,0,0.142857143,0,0,0,0,0
817,1818,p248p249-part1_ch2_1086.345540_1091.014050_q6_F_F,i remember you say you did not l- so into in sports why,4.668503401,76.1856965,578.6028018,220.4282167,100.7543232,201.4231999,749.0532071,0.61987041,28.01043122,74.03917341,65.03672453,11.75656826,59.48297157,0.014940804,0.05352585,17.87680516,2.784618299,13,FALSE,248,249,248,Female,Mandarin,0.3768,-0.9269,0.9284,0.2277,1.3452,-0.0464,0.4191,0.1985,-0.5352,0.0425,-0.118,0.2574,-0.1175,-0.5039,-0.5851,0.6139,0.068,13,0.071428571,0.64,92.12,1,1,121.6,16,5.2,6.5,0,0.64,0.7,0.57,0,3.6,92.12,0.071428571,0.071428571,0.071428571,0.071428571,0,0,0,0.071428571,0
818,1819,p400p401-part2_ch1_715.485960_718.541520_q13_F_F,uh so uh when and uh where,3.055555556,77.07668223,281.9721978,189.2590723,49.67923761,199.5808716,374.2258841,0.629139073,34.40893114,75.277329,68.03210185,10.20127653,66.47247936,0.01950302,0.053785459,14.61940032,2.290909091,7,FALSE,400,401,401,Female,Mandarin,-0.0572,-0.9055,-0.7689,-0.3789,-0.1246,-0.0812,-0.4423,0.2468,0.1034,0.2348,0.417,-0.1431,0.6337,-0.1656,-0.5771,-0.1704,-0.3474,7,0,0.35,115.13,0,1,139.7,7,2.8,2.5,0,0.35,-4.6,-3.37,0,-1.2,115.13,0.428571429,0,0.285714286,0,0,0,0.428571429,0,0
819,1821,p472p473-part1_ch2_465.739080_468.003830_q6_F_F,my leg which leg right or left,2.264739229,75.952738,527.4960854,186.1241513,71.38174406,186.2541608,705.8676241,0.600896861,23.76412215,68.62057927,59.33851733,10.21479038,56.76606226,0.023132876,0.079127694,11.79936755,3.090863579,7,FALSE,472,473,472,Female,Mandarin,-0.27,-0.9324,0.636,-0.4399,0.5,-0.3332,0.3198,0.0996,-0.959,-0.7995,-1.1357,-0.1396,-0.4094,0.1036,0.2025,-0.8493,0.3257,7,0,0.35,115.13,0,1,139.7,7,2.8,2.5,0,0.35,-1.9,-0.06,0,-1.2,115.13,0.142857143,0,0.142857143,0,0.285714286,0,0,0.142857143,0
820,1824,p370p371-part2_ch1_678.765360_684.697950_q19_F_F,okay um do you live alone or live with your roommate here,5.932585034,72.14008463,261.5200958,170.1848215,56.29511032,189.5452758,438.5873477,0.549152542,31.09394664,78.11971556,68.43604793,13.87955374,64.70979814,0.024525089,0.084373358,14.17746971,2.022727012,12,FALSE,370,371,371,Female,Mandarin,0.7169,-1.0239,-0.886,-0.7501,0.0658,-0.2709,-0.2944,-0.1701,-0.2274,0.6765,0.4891,0.8041,0.4442,0.2068,0.3639,-0.2767,-0.5731,12,0.083333333,5.55,101.6,0,1,128.6,13,4.8,5,1,5.55,2.6,4.05,0,2.1,101.6,0.083333333,0,0,0,0.166666667,0.166666667,0.083333333,0.083333333,0
821,1828,p436p437-part2_ch1_517.527990_521.217990_q22_T_F,no um did you have ever have a pet,3.69,75.0304206,469.8090767,242.1768607,74.29579752,257.2672004,557.0365903,0.510928962,25.0516706,74.66739052,64.86365431,13.09535245,58.92444402,0.022430208,0.061634314,15.18532559,2.43902439,9,FALSE,436,437,437,Female,Mandarin,0.1135,-0.9546,0.3059,0.651,0.5838,1.0094,-0.0222,-0.3693,-0.8305,0.1401,-0.1489,0.6022,-0.1775,0.0515,-0.3356,-0.0341,-0.2228,9,0,0.45,104.64,0,1,131.7,10,3.6,3.5,0,0.45,-3.4,-2.3,0,0.9,104.64,0,0.111111111,0,0,0,0,0.111111111,0,0
822,1832,p462p463-part2_ch1_655.058900_657.023370_q17_F_T,"[""oh i haven't seen it can you can you describe it""]",1.96446712,98.5979967,577.4387253,127.5550441,82.2275339,108.9571992,858.8949456,0.74611399,38.84094166,68.40745205,62.00136096,6.609959277,61.29960087,0.034029094,0.097260344,14.78034587,5.599482876,11,TRUE,462,463,463,Male,Mandarin,-0.4538,0.0981,1.2556,-0.1841,1.0178,-0.3172,0.9439,1.1541,0.5724,-0.7929,-0.5615,-1.0759,0.2587,0.2143,0.1017,0.4966,2.4048,11,0.090909091,0.55,102.61,0,1,129.6,12,4.4,4.5,0,0.55,0.3,1.02,0,1.7,102.61,0,0.090909091,0,0,0,0,0.090909091,0.090909091,0
823,1836,p480p481-part1_ch2_476.038990_477.024320_q20_F_T,where do you live,0.985328798,85.01451317,241.4567647,205.8039121,37.32278998,210.3215683,525.1352255,0.757894737,44.17155857,72.99294265,67.19813224,7.244554673,65.24357973,0.022503224,0.077179662,16.71850915,4.059558604,4,TRUE,480,481,480,Female,Mandarin,-0.6142,-0.715,-1.0008,-0.0569,-0.4801,0.1219,-0.0955,0.918,1.0778,-0.1201,0.268,-0.9044,0.5016,0.0569,0.1426,0.335,1.1408,4,0,0.2,118.18,0,1,142.8,4,1.6,1,0,0.2,-3,-2.91,0,-2.3,118.18,0,0,0.25,0,0.25,0.25,0,0,0
824,1837,p266p267-part2_ch1_177.305440_179.596100_q17_T_T,"[""oh i've never heard of that he""]",2.290657596,137.7234771,404.970721,193.2166453,43.81759564,179.3125285,329.6677292,0.668141593,40.15820438,75.52466675,68.0085792,5.586189642,67.05488431,0.015053307,0.064230961,12.83949311,3.055891029,7,TRUE,266,267,267,Female,Mandarin,-0.263,0.5495,-0.0651,-0.3019,-0.2932,-0.4644,-0.5447,0.4501,0.6772,0.2733,0.4128,-1.3315,0.6963,-0.4955,-0.2558,-0.5989,0.2963,7,0,0.35,106.67,0,1,133.7,8,2.8,2.5,0,0.35,-1.9,-0.87,0,0.1,106.67,0,0.142857143,0,0,0,0,0.142857143,0,0
825,1838,p270p271-part1_ch2_616.026690_618.586690_q23_F_F,mmm may i ask who that,2.56,95.30419191,257.6225593,190.3682539,27.26929569,192.6270699,193.6988958,0.584980237,19.49152149,65.45818129,57.94722165,15.33362082,51.55806108,0.012351685,0.030838422,21.73358084,2.34375,6,FALSE,270,271,270,Female,Mandarin,-0.1905,-0.4682,-0.9083,-0.3573,-0.7694,-0.2127,-0.8572,0.0167,-1.3854,-1.2909,-1.3842,1.1786,-0.9691,-0.6959,-1.2831,1.5425,-0.303,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-5.2,-4.43,0,-1.5,116.15,0,0,0.166666667,0,0,0,0.166666667,0,0
826,1839,p236p237-part2_ch1_1036.701200_1037.351200_q24_F_F,you never,0.65,92.72861432,219.6661697,151.6761992,39.54257317,127.6371333,580.0869888,0.725806452,41.67913466,71.4908316,67.32099569,7.003816207,66.75088672,0.022443628,0.086216189,15.42140316,3.076923077,2,FALSE,236,237,237,Male,Mandarin,-0.8075,-0.0427,-0.7916,0.2853,-0.2105,0.036,0.3032,1.0482,0.8557,-0.3138,0.3886,-0.9744,0.8445,-0.6448,-0.238,0.651,0.2823,2,0,0.1,77.91,0,1,114.8,3,0.8,0,0,0.1,-1.7,-7.41,0,2.9,77.91,0,0.5,0,0,0,0,0,0,0
827,1840,p378p379-part1_ch2_336.414520_337.856430_q17_F_T,have you ever gone ice skating,1.441904762,75.84543361,411.8445904,134.9537152,44.75565689,133.4669557,708.5398953,0.829787234,40.618984,74.63956796,68.48995474,6.333575214,65.64536018,0.030484635,0.120642713,11.23316984,4.161162483,6,TRUE,378,379,378,Male,Mandarin,-0.5944,-0.4477,0.308,-0.0401,-0.0605,0.1462,0.5984,1.5902,0.7499,0.1755,0.5974,-1.147,0.7257,-0.0486,0.8211,-0.3574,1.1946,6,0.166666667,6.57,90.77,0,1,122.7,8,2.4,2,1,6.57,1.2,3.35,0,2.1,90.77,0,0,0,0,0,0,0,0,0
828,1842,p406p407-part1_ch2_841.787900_845.248220_q20_F_F,wait wait so you all share one room,3.46031746,144.2362366,583.7157297,223.1913123,83.16283879,202.1819421,542.6104238,0.551020408,33.67386642,82.66261202,74.02852534,17.49931963,68.37774286,0.014927261,0.063330353,18.04576373,2.311926606,8,FALSE,406,407,406,Female,Mandarin,0.0517,0.7058,0.9577,0.2815,0.839,-0.032,-0.0554,-0.1604,0.0301,1.3824,1.4879,1.7362,0.8384,-0.5049,-0.2835,0.6546,-0.3297,8,0,0.4,114.12,0,1,138.7,8,3.2,3,0,0.4,-1,0.65,0,-0.8,114.12,0.125,0,0,0,0,0,0,0,0
829,1843,p452p453-part2_ch1_1061.530590_1064.410590_q20_T_T,oh where do you live in school or,2.88,96.91841092,548.5610009,122.9137422,42.10104719,108.6046913,495.4690341,0.456140351,21.80791948,68.44787558,59.22212393,13.65527023,55.00889939,0.023213193,0.059978154,11.64879072,2.777777778,8,TRUE,452,453,453,Male,Mandarin,-0.2075,0.0578,1.0903,-0.2744,-0.1369,-0.3239,0.1088,-0.3574,-1.1276,-0.7866,-1.0579,0.7384,-0.4173,-0.5878,-1.0452,-0.2573,0.0305,8,0,0.4,114.12,0,1,138.7,8,3.2,3,0,0.4,-2.2,-0.81,0,-0.8,114.12,0.125,0,0.125,0,0.125,0.125,0.125,0.125,0
830,1844,p428p429-part1_ch2_818.844400_826.254400_q4_F_F,"[""uh so it seems like you're a pretty good person did you ever consider or did you ever cheat on a test in high school""]",7.41,75.52206307,150.5861011,100.4796162,14.55269495,98.7953316,94.02466537,0.395663957,25.15178602,73.9553806,62.78140709,13.26467686,56.41783421,0.024462242,0.069429721,15.43615072,3.373819163,25,FALSE,428,429,428,Male,Mandarin,1.0113,-0.4555,-1.1869,-0.711,-0.9297,-0.5093,-0.8138,-0.6726,-0.7938,0.0692,-0.4222,0.6378,-0.2659,-0.4951,-0.7545,0.6545,0.5321,25,0.04,1.87,79.94,1,1,109.4,31,11.6,13.5,1,1.87,8.4,4.13,0,8.3,79.94,0.08,0,0,0,0,0,0.04,0.04,0
831,1846,p548p549-part2_ch1_704.218302_706.537819_q17_F_T,so you hate it because its weird,2.31952381,77.86742344,524.0733001,122.3682695,62.16497041,110.0535445,725.2176963,0.631578947,22.27781131,67.00531402,60.15572795,12.96363206,56.03853692,0.026088381,0.096509215,13.29107676,3.017860809,7,TRUE,548,549,549,Male,Mandarin,-0.3583,-0.3992,0.9502,-0.285,0.4405,-0.2965,0.6367,0.5571,-1.0807,-1.0107,-0.8911,0.5603,-0.3067,-0.3746,0.0786,0.1381,0.2326,7,0.142857143,0.35,106.67,0,1,133.7,8,2.8,2.5,0,0.35,-0.6,1.57,0,0.1,106.67,0.285714286,0,0,0.142857143,0,0,0,0,0
832,1849,p524p525-part2_ch1_576.048309_598.050204_q13_T_T,you really have a good focus? since in here in we students always believe that um there are that there are some gangsters everywhere and we must take much care of our wallet,22.00190476,74.9650864,567.2353861,199.2043299,66.93223308,191.004784,335.9672955,0.440145653,23.06014446,86.80660379,72.86622297,16.2616269,64.61039087,0.015734651,0.083072354,13.95129013,1.499870141,33,TRUE,524,525,525,Male,Mandarin,4.9372,-0.4688,1.1972,1.2103,0.5777,1.2341,-0.2578,-0.4408,-1.0026,2.066,1.379,1.4095,0.6145,-1.1423,-0.3348,0.297,-1.0447,33,0.117647059,7.19,63.36,2,1,95.2,43,13.2,18.5,4,7.19,15.2,7.9,0,12.6,63.36,0.029411765,0,0,0.029411765,0,0,0.029411765,0.029411765,0
833,1851,p492p493-part1_ch2_1271.416644_1282.352644_q5_T_T,okay mm have you ever watched a person or pet die,10.93600907,99.56259325,528.6326565,149.9394608,39.81980853,141.6035671,210.81649,0.281651376,23.14032623,73.03845618,62.59983843,16.79361879,32.19051682,0.028767254,0.082791739,14.92795046,1.005851397,11,TRUE,492,493,492,Male,Mandarin,1.96,0.1213,0.9763,0.2515,-0.2026,0.3,-0.5454,-1.2669,-0.9946,-0.0733,-0.4546,1.5465,-2.8695,-0.1759,-0.3434,0.5322,-1.4604,11,0.090909091,0.55,94.15,0,1,123.6,13,4.4,4.5,0,0.55,0.8,2.13,0,2.9,94.15,0.090909091,0,0,0,0,0,0.090909091,0.090909091,0
834,1852,p416p417-part1_ch2_30.002270_34.782270_q2_T_T,uh in canada ha ha,4.78,73.52536751,559.6824726,231.0533979,119.3729668,198.9435838,472.239479,0.210526316,34.83518048,88.50037506,73.14031696,12.85689362,52.54740612,0.033985996,0.064678487,12.32517158,1.046025105,5,TRUE,416,417,416,Female,Mandarin,0.4068,-0.9907,0.8201,0.4345,1.881,-0.0933,-0.2171,-1.9352,0.146,2.2895,1.3293,0.5408,-0.8628,0.9084,-0.242,-0.7227,-1.3949,5,0,7.04,100.24,0,1,129.8,6,2,1.5,1,7.04,-5.8,-5.49,0,0.5,100.24,0,0,0,0,0,0,0.2,0,0
835,1854,p538p539-part2_ch1_355.643984_356.666498_q6_F_F,oh no,1.022517007,118.7659461,139.9601314,133.4076219,3.856954122,132.5819004,84.98787317,0.838383838,46.53089143,67.2258349,64.60423738,5.371030369,65.10896473,0.010190656,0.045548855,22.27035618,1.955957687,2,FALSE,538,539,539,Male,Mandarin,-0.7073,0.582,-1.2477,-0.0702,-1.2375,0.1295,-0.8346,1.635,1.3399,-0.9765,-0.0966,-1.3949,0.6681,-1.5534,-1.4891,2.2999,-0.661,2,0,0.1,120.21,0,1,144.8,2,0.8,0,0,0.1,-11.1,-19.01,0,-3.1,120.21,0,0.5,0,0,0,0,0.5,0,0
836,1858,p528p529-part2_ch1_1752.102666_1754.759040_q16_F_F,"[""hm mm um what's the shoe""]",2.656371882,77.41594547,245.7507126,162.4416654,29.04558359,156.1496153,455.1628662,0.553435115,23.07349485,73.58764193,65.98392629,13.89055444,65.27226194,0.031775097,0.109935901,13.93558228,2.258719888,6,FALSE,528,529,529,Female,Mandarin,-0.1646,-0.8973,-0.9762,-0.9008,-0.7183,-0.9023,-0.2563,-0.1478,-1.0279,-0.0277,0.0512,0.807,0.5047,0.7444,1.1503,-0.335,-0.3745,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-3.6,-3.44,0,-1.5,116.15,0,0,0.166666667,0,0.166666667,0,0.5,0,0
837,1860,p386p387-part2_ch1_810.886010_813.286010_q19_T_T,"[""ooh so you don't play tennis""]",2.4,126.9003517,595.691791,208.7763256,113.9228518,172.9439059,750.473605,0.63559322,29.7381466,71.99641537,66.00742423,11.68250593,63.66855962,0.020536661,0.056110449,16.80322952,2.5,6,TRUE,386,387,387,Female,Mandarin,-0.2336,0.2899,1.0262,0.0009,1.7242,-0.5848,0.4223,0.2805,-0.3627,-0.275,0.0554,0.2384,0.3323,-0.0889,-0.5056,0.3554,-0.1715,6,0,0.3,99.23,0,1,128.7,7,2.4,2,0,0.3,-0.5,0.45,0,0.9,99.23,0.166666667,0.166666667,0,0,0,0,0,0,0
838,1861,p362p363-part2_ch1_1090.429130_1091.140330_q17_T_T,oh,0.711201814,151.4005086,165.2023332,159.3698109,3.840928538,160.2452716,94.48806509,0.779411765,26.71212979,67.88168903,61.76653078,8.986349623,58.56398675,0.012674827,0.061130689,20.08323131,1.406070654,1,TRUE,362,363,363,Male,Mandarin,-0.791,1.3649,-1.1033,0.4351,-1.2379,0.6525,-0.8127,1.3277,-0.6381,-0.8746,-0.6034,-0.4639,-0.0353,-1.3692,-1.0098,1.7733,-1.1236,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-11.6,-33.81,0,-3.5,121.22,0,0,0,0,0,0,1,0,0
839,1864,p510p511-part2_ch1_560.144252_564.253492_q6_T_T,no alright do do you play basketball or football,4.109229025,116.6334901,156.5982497,136.8662607,7.740151731,136.2315219,85.21301572,0.398034398,16.86926998,81.92135326,71.98156968,21.71117245,60.38035947,0.01696042,0.072781171,16.68961096,2.190191869,9,TRUE,510,511,511,Male,Mandarin,0.1232,0.5308,-1.1525,-0.0029,-1.1257,0.1985,-0.834,-0.6603,-1.6205,1.307,1.221,2.8128,0.1599,-1.0514,-0.6514,0.9563,-0.4639,9,0.333333333,7.59,79.26,1,1,113.7,13,8.04,4.5,2,7.59,4,6.7,0,4.4,79.26,0.111111111,0.111111111,0,0,0,0,0,0.111111111,0
840,1876,p242p243-part1_ch2_1189.094230_1189.539790_q24_T_T,never,0.445555556,112.9234912,146.1251632,124.74866,11.33873232,119.6071199,202.4478505,1,59.55566011,69.90533073,67.32565666,3.291149692,67.73534563,0.019614756,0.084786525,12.73576257,2.244389027,1,TRUE,242,243,242,Male,Mandarin,-0.8625,0.4418,-1.2124,-0.2387,-1.0222,-0.1158,-0.5646,2.4775,2.6398,-0.5601,0.3894,-1.9305,0.9503,-0.8546,-0.282,0.0044,-0.4183,1,0,0.05,36.62,0,1,85.8,2,0.4,-0.5,0,0.05,2.6,-16.41,0,8.4,36.62,0,1,0,0,0,0,0,0,0
841,1878,p478p479-part1_ch2_394.962440_398.210440_q4_F_F,number six have you ever break a bone,3.248004535,77.07575271,577.6277418,128.4275126,45.32252447,125.829032,514.7401176,0.663551402,35.75666207,76.41025049,69.59712348,9.504930178,66.61105962,0.03841472,0.080334109,9.805084225,2.463050748,8,FALSE,478,479,478,Male,Mandarin,-0.1085,-0.4182,1.2567,-0.1671,-0.0442,0.0018,0.153,0.7237,0.2646,0.4506,0.7951,-0.3304,0.8295,0.5395,-0.419,-0.7012,-0.2343,8,0,0.4,88.74,0,1,120.7,10,3.2,3,0,0.4,0.2,2.1,0,2.9,88.74,0,0,0,0,0.125,0,0,0,0
842,1881,p382p383-part2_ch1_205.631090_206.231090_q4_T_F,yes,0.6,183.0181464,597.0412803,357.0183735,178.8877628,217.6947189,1598.906641,0.785714286,48.13665881,70.50815289,65.5638118,6.277653824,62.17682198,0.04865149,0.099345332,11.0269307,1.666666667,1,FALSE,382,383,383,Female,Mandarin,-0.7179,1.6362,1.0339,2.886,3.5937,0.2613,2.3721,1.063,1.4735,-0.5062,-0.0239,-1.1534,0.172,1.9958,0.8245,-1.0353,-0.8727,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-6.9,-28.01,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
843,1883,p270p271-part1_ch2_407.356550_410.686550_q16_F_F,do you still remember um the brand of that shoe,3.33,95.36474814,359.9858055,221.9742251,29.86208967,217.1653702,348.3569659,0.806060606,18.05266759,63.63170217,57.6661114,9.262149913,56.76919005,0.010954405,0.051732567,19.41962482,3.003003003,10,FALSE,270,271,270,Female,Mandarin,0.0167,-0.4667,-0.3225,0.2578,-0.6948,0.2513,-0.5018,1.169,-1.529,-1.5747,-1.4344,-0.3849,-0.4091,-0.7995,-0.6403,0.9854,0.2518,10,0.1,0.5,95.17,1,1,124.7,12,4,5,0,0.5,1.5,3.28,0,2.5,95.17,0,0,0,0,0.1,0,0.1,0,0
844,1887,p404p405-part2_ch1_449.310330_450.580330_q12_F_F,your roommate in high school,1.27,87.71227706,328.9883465,219.4504227,45.49686608,206.8739731,506.5080317,0.798387097,37.10283992,72.87889047,68.13515964,6.91642275,68.23834166,0.015472648,0.042282301,18.42504783,3.937007874,5,FALSE,404,405,405,Female,Mandarin,-0.5376,-0.6503,-0.4999,0.2087,-0.2449,0.0567,-0.1383,1.129,0.3723,-0.1378,0.4354,-0.9889,0.8234,-0.4644,-0.931,0.7459,1.0377,5,0.2,7.04,100.24,0,1,129.8,6,2,1.5,1,7.04,3.7,6.12,0,0.5,100.24,0,0,0,0,0,0,0,0,0
845,1891,p386p387-part2_ch1_946.073100_947.023100_q18_T_T,no why,0.95,130.7577274,232.834447,159.5707018,15.85508583,161.4932493,205.511211,0.945652174,51.06062355,75.11145281,70.38473153,4.406043598,69.9529583,0.009748206,0.045471373,20.49307497,2.105263158,2,TRUE,386,387,387,Female,Mandarin,-0.6237,0.3824,-1.0501,-0.9567,-1.0979,-0.8013,-0.83,1.8967,1.7654,0.2091,0.8372,-1.6354,1.0077,-0.8889,-0.8329,1.2438,-0.5036,2,0,0.1,120.21,0,1,144.8,2,0.8,0,0,0.1,-8.8,-16.11,0,-3.1,120.21,0,0.5,0.5,0.5,0,0,0,0,0
846,1893,p364p365-part1_ch2_417.911010_419.791010_q9_F_T,do you have twitter account,1.88,97.58480224,259.7604287,196.6873863,29.86615999,198.4212468,451.4827433,0.491891892,26.20030913,70.46577225,63.55312151,13.51538432,59.83189404,0.022589069,0.073331082,13.62501728,2.659574468,5,TRUE,364,365,364,Female,Mandarin,-0.3735,-0.4135,-0.896,-0.2343,-0.6947,-0.1031,-0.2648,-0.4686,-0.7158,-0.5128,-0.383,0.7103,-0.08,0.0633,0.0242,-0.4098,-0.0372,5,0.4,7.04,83.32,0,1,117.8,7,2,1.5,1,7.04,2.7,4.96,0,2.9,83.32,0,0,0,0,0,0,0,0,0.2
847,1896,p400p401-part2_ch1_644.359680_645.870440_q11_T_T,uh ah okay i i know it,1.510770975,178.3194011,257.0666985,212.240187,24.43048445,201.5934786,211.1475885,0.756756757,39.99123199,78.91360194,73.33149159,10.36842393,70.65250015,0.01418212,0.066420551,15.12420681,4.633395872,7,TRUE,400,401,401,Female,Mandarin,-0.4728,1.5235,-0.9115,0.0684,-0.8511,-0.0432,-0.8171,0.912,0.6606,0.7999,1.3634,-0.1,1.0829,-0.5601,-0.1884,-0.0488,1.6236,7,0,0.35,115.13,0,1,139.7,7,2.8,2.5,0,0.35,-7.2,-6.67,0,-1.2,115.13,0,0,0,0,0,0,0.285714286,0,0
848,1897,p410p411-part2_ch1_99.659290_100.304330_q4_T_T,technician,0.645034014,100.3598362,458.6463769,136.699853,56.54413426,120.6179647,962.6951686,0.655737705,40.82029805,69.35465386,64.84261305,5.380900112,64.34584665,0.035351214,0.112452197,10.99495798,1.550305843,1,TRUE,410,411,411,Male,Mandarin,-0.8088,0.1404,0.5758,-0.0061,0.2787,-0.0967,1.1825,0.683,0.77,-0.6457,-0.054,-1.3923,0.5861,0.3123,0.5691,-0.4148,-1.0023,1,1,19.48,-47.99,1,1,25.8,3,40.4,0.5,1,19.48,26.2,12.6,0,20.2,-47.99,0,0,0,0,0,0,0,0,0
